"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3759","@Regression_Test=>6. Checkout Page=>Order Confirmation=>Validation","webkit","Fri Jun 20 15:01:48 EDT 2025","passed","Fri Jun 20 15:01:52 EDT 2025","Checkout Order Test Suite","Tags.spec.js","",""
"","3246","@Regression_Test=>3. Home Page=>Products List=>Validation","webkit","Fri Jun 20 15:01:48 EDT 2025","passed","Fri Jun 20 15:01:52 EDT 2025","Products List Test Suite","Tags.spec.js","",""
"","2597","@Regression_Test=>2. Login With Invalid Credentials","webkit","Fri Jun 20 15:01:45 EDT 2025","passed","Fri Jun 20 15:01:47 EDT 2025","Login Test Suite","Tags.spec.js","",""
"","4121","@Regression_Test=>3. Home Page=>Products List=>Validation","firefox","Fri Jun 20 15:01:44 EDT 2025","passed","Fri Jun 20 15:01:48 EDT 2025","Products List Test Suite","Tags.spec.js","",""
"","2586","@Regression_Test=>5. Cart Item Page=>Remove=>Validation","chromium","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:42 EDT 2025","Cart Item Remove Test Suite","Tags.spec.js","",""
"","2583","@Regression_Test=>4. Cart Page=>Cart Items=>Validation","webkit","Fri Jun 20 15:01:50 EDT 2025","passed","Fri Jun 20 15:01:53 EDT 2025","Cart Page Test Suite","Tags.spec.js","",""
"","2353","@Regression_Test=>1. Login With Valid Credentials","chromium","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:42 EDT 2025","Login Test Suite","Tags.spec.js","",""
"","2579","@Regression_Test=>3. Home Page=>Products List=>Validation","chromium","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:42 EDT 2025","Products List Test Suite","Tags.spec.js","",""
"","2591","@Regression_Test=>4. Cart Page=>Cart Items=>Validation","chromium","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:42 EDT 2025","Cart Page Test Suite","Tags.spec.js","",""
"","3565","@Regression_Test=>2. Login With Invalid Credentials","firefox","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:43 EDT 2025","Login Test Suite","Tags.spec.js","",""
"","5102","@Regression_Test=>6. Checkout Page=>Order Confirmation=>Validation","firefox","Fri Jun 20 15:01:44 EDT 2025","passed","Fri Jun 20 15:01:50 EDT 2025","Checkout Order Test Suite","Tags.spec.js","",""
"","2984","@Regression_Test=>1. Login With Valid Credentials","webkit","Fri Jun 20 15:01:44 EDT 2025","passed","Fri Jun 20 15:01:47 EDT 2025","Login Test Suite","Tags.spec.js","",""
"","3327","@Regression_Test=>1. Login With Valid Credentials","firefox","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:43 EDT 2025","Login Test Suite","Tags.spec.js","",""
"","2133","@Regression_Test=>2. Login With Invalid Credentials","chromium","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:42 EDT 2025","Login Test Suite","Tags.spec.js","",""
"","2765","@Regression_Test=>5. Cart Item Page=>Remove=>Validation","webkit","Fri Jun 20 15:01:48 EDT 2025","passed","Fri Jun 20 15:01:51 EDT 2025","Cart Item Remove Test Suite","Tags.spec.js","",""
"","3856","@Regression_Test=>5. Cart Item Page=>Remove=>Validation","firefox","Fri Jun 20 15:01:44 EDT 2025","passed","Fri Jun 20 15:01:48 EDT 2025","Cart Item Remove Test Suite","Tags.spec.js","",""
"","2938","@Regression_Test=>6. Checkout Page=>Order Confirmation=>Validation","chromium","Fri Jun 20 15:01:40 EDT 2025","passed","Fri Jun 20 15:01:43 EDT 2025","Checkout Order Test Suite","Tags.spec.js","",""
"","4825","@Regression_Test=>4. Cart Page=>Cart Items=>Validation","firefox","Fri Jun 20 15:01:44 EDT 2025","passed","Fri Jun 20 15:01:49 EDT 2025","Cart Page Test Suite","Tags.spec.js","",""
